Time,"p","vorticity:0","vorticity:1","vorticity:2","C:0","C:1","C:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
172,-0.1146182,-1.3327077e-20,-2.2817576e-19,2.3420169e-05,1.0312799,-1.953396,0.050000001,1.1981626,-0.044317719,-1.8855921e-22,1.03128,-1.95339,0
172,-0.11184702,-3.530879e-21,3.461094e-20,-1.3585855e-05,1.0310751,-2.0000012,0.050000001,1.1956192,-0.043351661,3.2410666e-23,1.0310751,-2,0
172,-0.11218799,-6.1887473e-22,3.6422853e-20,-1.9755531e-05,0.99999911,-1.9999996,0.050000001,1.1949883,-0.045044135,3.1194754e-23,1,-2,0
172,-0.11501464,-1.0087548e-20,-2.2411585e-19,1.5493521e-05,0.99999887,-1.9534671,0.050000001,1.1975306,-0.045999572,-1.8465367e-22,1,-1.9534646,0
172,-0.11373133,1.6054593e-20,6.67536e-19,2.9380521e-05,1.1025574,-1.9532275,0.050000001,1.199705,-0.040503945,5.6505231e-22,1.10256,-1.95323,0
172,-0.11106908,2.6009515e-20,8.0286595e-19,-6.4670016e-06,1.102358,-1.9999987,0.050000001,1.1971457,-0.039476883,6.712713e-22,1.1023604,-2,0
172,-0.11289033,6.7637706e-21,3.0447765e-21,4.9997114e-05,1.1738293,-1.9530575,0.050000001,1.201365,-0.036668625,7.7696796e-24,1.17383,-1.95306,0
172,-0.11032128,-6.7620375e-21,-3.882076e-19,3.18304e-06,1.1736337,-1.9999986,0.050000001,1.1987642,-0.035573211,-3.1789499e-22,1.1736355,-2,0
172,-0.11212056,-5.3709679e-22,5.0020993e-21,7.9704645e-05,1.2450994,-1.9528875,0.050000001,1.2031499,-0.0327674,-2.5472796e-24,1.2451,-1.95289,0
172,-0.10962696,-5.2608739e-21,-1.3247131e-19,2.289726e-05,1.2449079,-1.9999987,0.050000001,1.2004809,-0.031600695,-1.159351e-22,1.2449107,-2,0
172,-0.11144301,-4.3571274e-21,-2.216644e-19,9.9338322e-05,1.3163654,-1.9527155,0.050000001,1.2050649,-0.028753709,-1.9358412e-22,1.31637,-1.95272,0
172,-0.10900498,-6.8536502e-21,-2.1818939e-19,2.8392242e-05,1.3161781,-1.9999954,0.050000001,1.2022976,-0.027517514,-1.8045256e-22,1.3161801,-2,0
172,-0.11087381,-1.0063627e-20,-9.0323118e-19,0.00013280458,1.3876271,-1.9525417,0.050000001,1.2071024,-0.024579648,-7.5070629e-22,1.38763,-1.95254,0
172,-0.10846908,-2.1105092e-20,-1.1676556e-18,4.2085157e-05,1.3874437,-1.9999989,0.050000001,1.2042073,-0.023280462,-9.4334082e-22,1.3874453,-2,0
172,-0.11042294,2.7208683e-21,2.1916042e-19,0.00015851427,1.4588956,-1.9523662,0.050000001,1.2092474,-0.020196492,1.83761e-22,1.4589,-1.95237,0
172,-0.10802894,1.1342618e-23,8.3476676e-20,4.9560069e-05,1.4587139,-1.9999983,0.050000001,1.2061954,-0.018846629,7.3830533e-23,1.4587147,-2,0
172,-0.11009446,-1.3808122e-21,4.5622914e-19,0.00017842569,1.5301577,-1.9521855,0.050000001,1.2114748,-0.015557799,3.6175268e-22,1.53016,-1.95219,0
172,-0.1076878,4.5916808e-21,3.1844654e-19,6.3171319e-05,1.5299799,-1.9999979,0.050000001,1.2082378,-0.014174522,2.5972888e-22,1.5299799,-2,0
172,-0.10988671,-5.2307085e-21,-4.4521228e-19,0.00023408221,1.6014173,-1.9520078,0.050000001,1.2137523,-0.010619308,-3.7637374e-22,1.60142,-1.95201,0
172,-0.10744418,-4.0659805e-21,-4.4325135e-19,0.00010056202,1.601244,-1.9999987,0.050000001,1.2103047,-0.0092253266,-3.619286e-22,1.6012454,-2,0
172,-0.10979222,-4.7566379e-22,-1.1373372e-18,0.00029002261,1.6726795,-1.9518298,0.050000001,1.2160423,-0.0053410963,-9.1194431e-22,1.67268,-1.95183,0
172,-0.10729126,-1.307438e-21,-8.6599084e-19,0.0001301142,1.672509,-1.9999996,0.050000001,1.21236,-0.003964249,-6.940014e-22,1.6725107,-2,0
172,-0.10979699,-7.2615036e-21,4.4392054e-19,0.00033214208,1.7439417,-1.9516516,0.050000001,1.2182949,0.00031138788,3.6174306e-22,1.74394,-1.95165,0
172,-0.10721631,-3.3629987e-21,5.7920893e-19,0.0001554428,1.7437754,-2.0000005,0.050000001,1.2143582,0.0016384651,4.6332787e-22,1.7437762,-2,0
172,-0.10988114,-1.0157839e-20,9.1171826e-19,0.00036664412,1.8152076,-1.9514782,0.050000001,1.2204572,0.006365425,7.1930443e-22,1.81521,-1.95148,0
172,-0.10720181,-7.651957e-21,1.0505522e-18,0.0001813264,1.8150445,-1.9999992,0.050000001,1.2162511,0.0076057524,8.1959185e-22,1.8150456,-2,0
172,-0.1100207,8.5137298e-21,-6.7535115e-19,0.00041032789,1.8864694,-1.9512995,0.050000001,1.2224673,0.012839358,-5.5203315e-22,1.88647,-1.9513,0
172,-0.1072259,5.5412179e-21,-8.0974153e-19,0.0002089714,1.8863091,-1.9999994,0.050000001,1.2179819,0.013952943,-6.5031391e-22,1.8863112,-2,0
172,-0.11018661,8.250646e-21,-4.6260246e-19,0.00044901649,1.957733,-1.9511259,0.050000001,1.2242597,0.019743325,-3.5979307e-22,1.9577399,-1.95113,0
172,-0.10726305,1.1362398e-20,-7.3646377e-19,0.00022862011,1.9575763,-1.9999993,0.050000001,1.2194922,0.020687219,-5.6715812e-22,1.9575806,-2,0
172,-0.11034671,-2.0186501e-20,9.1113407e-19,0.00049524242,2.0289972,-1.9509518,0.050000001,1.2257674,0.027076347,7.378602e-22,2.029,-1.95095,0
172,-0.10728413,-9.3610956e-22,2.1204009e-19,0.00025639861,2.028846,-1.9999994,0.050000001,1.2207203,0.027806373,1.8504035e-22,2.0288463,-2,0
172,-0.11046519,6.9163261e-21,9.7559661e-21,0.00053826038,2.1002674,-1.9507796,0.050000001,1.2269199,0.034827948,7.319153e-25,2.10027,-1.95078,0
172,-0.10725748,1.5689566e-20,-4.1423018e-19,0.00027907258,2.1001194,-2.0000012,0.050000001,1.2216022,0.035299089,-3.2013823e-22,2.1001217,-2,0
172,-0.11050548,1.397383e-20,-6.8272867e-19,0.00053719291,2.1715395,-1.9506115,0.050000001,1.2276499,0.042975474,-5.5382771e-22,2.17154,-1.95061,0
172,-0.10715096,1.2325019e-20,-5.4192717e-19,0.00027956907,2.1713924,-2.0000005,0.050000001,1.2220776,0.043143313,-4.2366491e-22,2.1713912,-2,0
172,-0.11042988,1.7553522e-20,-4.5671511e-19,0.00053114799,2.2428095,-1.9504455,0.050000001,1.2278923,0.051486086,-3.6941702e-22,2.24281,-1.9504499,0
172,-0.10693143,1.2409581e-20,-3.1230018e-19,0.00026450673,2.2426655,-1.999997,0.050000001,1.2220892,0.051308274,-2.4221821e-22,2.242667,-2,0
172,-0.11020224,4.1389898e-20,-9.1720268e-19,0.00053817005,2.3140814,-1.9502792,0.050000001,1.2275825,0.0603166,-7.4701341e-22,2.31408,-1.95028,0
172,-0.10656608,2.4756863e-20,-6.3039207e-19,0.00026767809,2.3139405,-1.9999985,0.050000001,1.2215793,0.05975356,-4.9985554e-22,2.3139429,-2,0
172,-0.10978767,1.0848188e-20,-2.3409493e-19,0.00054102123,2.3853595,-1.9501178,0.050000001,1.2266624,0.069414519,-2.0682127e-22,2.38536,-1.95012,0
172,-0.10602464,-5.4813689e-21,5.632868e-20,0.00028499856,2.3852208,-1.9999992,0.050000001,1.2204963,0.068430558,4.147883e-23,2.3852224,-2,0
172,-0.10915364,4.2004112e-20,-6.8345783e-19,0.00052559283,2.45664,-1.9499558,0.050000001,1.2250874,0.078718245,-5.3855153e-22,2.45664,-1.94996,0
172,-0.10527823,3.9933411e-20,-6.7495146e-19,0.00027411891,2.4565017,-1.9999996,0.050000001,1.2187979,0.07728257,-5.0975621e-22,2.456502,-2,0
172,-0.10827218,2.3227518e-20,-4.4936054e-19,0.00049873587,2.5279176,-1.9497977,0.050000001,1.2228174,0.08815933,-3.328864e-22,2.52792,-1.9498,0
172,-0.10430267,2.2977001e-20,-4.5482025e-19,0.00026017136,2.5277815,-1.9999992,0.050000001,1.2164505,0.086247042,-3.4597142e-22,2.5277815,-2,0
172,-0.10712004,8.0396566e-20,-8.9648418e-19,0.00047136797,2.5991995,-1.9496392,0.050000001,1.2198201,0.097663969,-6.795988e-22,2.5992,-1.94964,0
172,-0.10307696,2.8431577e-20,-3.2917386e-19,0.00025275655,2.599067,-1.9999983,0.050000001,1.2134256,0.095256664,-2.44518e-22,2.5990674,-2,0
172,-0.10567869,1.0653432e-19,-1.1375472e-18,0.00043311587,2.6704884,-1.9494878,0.050000001,1.2160774,0.10715432,-8.7560036e-22,2.67049,-1.94949,0
172,-0.10158531,5.9741666e-20,-6.9864502e-19,0.00023340716,2.6703563,-1.9999977,0.050000001,1.2097068,0.10424049,-5.1682971e-22,2.670357,-2,0
172,-0.10393554,-3.3785313e-20,4.3949579e-19,0.00038949345,2.7417717,-1.94934,0.050000001,1.2115827,0.11654989,3.5326883e-22,2.74177,-1.94934,0
172,-0.099816464,7.0887601e-21,1.7195746e-20,0.00021516383,2.7416449,-2.0000012,0.050000001,1.2052883,0.11312495,3.6842818e-23,2.741643,-2,0
172,-0.10188381,-1.4142852e-19,1.3472728e-18,0.00034670287,2.8130591,-1.94919,0.050000001,1.2063377,0.12577166,1.0159375e-21,2.81306,-1.94919,0
172,-0.097764693,-9.0837317e-20,9.1231766e-19,0.00018461322,2.8129358,-1.9999989,0.050000001,1.2001734,0.12183793,6.6911747e-22,2.8129389,-2,0
172,-0.099522874,-4.706269e-20,4.5597788e-19,0.0003170569,2.8843534,-1.9490417,0.050000001,1.2003527,0.13474046,3.3579782e-22,2.8843601,-1.9490401,0
172,-0.095429443,-2.8692443e-20,3.1104292e-19,0.0001619207,2.8842294,-1.9999977,0.050000001,1.1943706,0.13030699,2.1403894e-22,2.8842323,-2,0
172,-0.096857511,5.5008028e-20,-4.4039499e-19,0.0002939823,2.9556475,-1.9489,0.050000001,1.1936501,0.14337954,-3.1983599e-22,2.9556501,-1.9489,0
172,-0.092815459,6.6338043e-20,-5.8582927e-19,0.00015195436,2.9555271,-1.9999985,0.050000001,1.1879014,0.13846305,-4.2548699e-22,2.9555285,-2,0
172,-0.093898468,3.180767e-20,-2.2139833e-19,0.00026366391,3.0269477,-1.9487578,0.050000001,1.1862651,0.15161954,-1.6483776e-22,3.0269499,-1.94876,0
172,-0.089931943,1.1742427e-20,-8.1419801e-20,0.00013831371,3.0268283,-2.0000005,0.050000001,1.180796,0.14624126,-5.8994489e-23,3.0268281,-2,0
172,-0.090661205,6.0823243e-20,-4.3974534e-19,0.00022478335,3.0982502,-1.9486192,0.050000001,1.1782402,0.15939517,-3.2411159e-22,3.0982499,-1.94862,0
172,-0.08679311,1.9292043e-20,-1.5548488e-19,0.00011835715,3.0981302,-1.9999998,0.050000001,1.1730932,0.15358253,-1.1545527e-22,3.0981276,-2,0
172,-0.087165236,9.774182e-20,-6.5566321e-19,0.00019447647,3.1695499,-1.9484875,0.050000001,1.1696202,0.16664758,-4.4600444e-22,3.1695499,-1.94849,0
172,-0.083416313,7.0600007e-20,-5.0970414e-19,9.9126897e-05,3.1694336,-1.9999992,0.050000001,1.1648345,0.16043296,-3.24856e-22,3.1694338,-2,0
172,-0.083433785,5.1377698e-21,-8.5233999e-21,0.00017532626,3.2408519,-1.9483581,0.050000001,1.1604577,0.17332675,-4.3327314e-23,3.24085,-1.94836,0
172,-0.079822168,-4.2017767e-23,-4.2177184e-21,8.9113033e-05,3.2407391,-1.9999993,0.050000001,1.1560676,0.16674519,-1.3322438e-23,3.2407401,-2,0
172,-0.079493001,3.957823e-20,-2.0903507e-19,0.00014247213,3.3121595,-1.9482278,0.050000001,1.1508152,0.17939156,-1.2783404e-22,3.31216,-1.94823,0
172,-0.076034181,5.7768368e-20,-3.4430656e-19,6.9640206e-05,3.312048,-2.0000005,0.050000001,1.1468486,0.17248046,-1.9300026e-22,3.3120499,-2,0
172,-0.075371124,1.6843432e-19,-1.0554183e-18,0.00012440026,3.3834693,-1.9480995,0.050000001,1.1407478,0.18480718,-6.1471202e-22,3.3834701,-1.9481,0
172,-0.072077952,7.6378795e-20,-5.1191008e-19,5.9581605e-05,3.3833606,-1.9999996,0.050000001,1.1372285,0.17760621,-3.0288631e-22,3.3833594,-2,0
172,-0.071096987,1.0114218e-19,-6.3312626e-19,0.00011318009,3.4547815,-1.9479783,0.050000001,1.1303178,0.18954824,-3.3900236e-22,3.4547801,-1.94798,0
172,-0.067979321,-9.6743555e-21,5.6144852e-20,5.0949035e-05,3.4546747,-1.9999995,0.050000001,1.1272644,0.18209825,4.4586018e-23,3.4546757,-2,0
172,-0.066700451,-4.2369867e-21,-4.3330476e-23,0.0001103564,3.5260978,-1.947854,0.050000001,1.1195878,0.19359735,1.5741115e-23,3.5260999,-1.94785,0
172,-0.06376493,-2.5716974e-20,1.3430986e-19,4.7013003e-05,3.5259893,-2.0000014,0.050000001,1.1170139,0.18593802,7.0677198e-23,3.5259888,-2,0
172,-0.062210619,-1.0957483e-21,2.3896478e-21,9.5388023e-05,3.5974157,-1.947736,0.050000001,1.108615,0.19694206,6.8074326e-24,3.59742,-1.94774,0
172,-0.059461825,-4.610318e-20,2.7082793e-19,4.2782583e-05,3.5973084,-1.9999995,0.050000001,1.1065283,0.18911467,1.2939394e-22,3.5973086,-2,0
172,-0.057656445,7.4557912e-20,-4.0832036e-19,9.2981209e-05,3.6687341,-1.9476178,0.050000001,1.0974603,0.19958064,-1.9883018e-22,3.66873,-1.94762,0
172,-0.05509574,2.4055731e-20,-1.4228159e-19,4.0220446e-05,3.6686316,-1.999999,0.050000001,1.0958642,0.19162367,-7.3694521e-23,3.6686316,-2,0
172,-0.053064596,1.6474752e-21,-5.4637969e-21,9.5275085e-05,3.7400579,-1.947504,0.050000001,1.0861776,0.20151415,-2.1367913e-23,3.7400601,-1.9475,0
172,-0.050691321,-2.5535326e-20,1.2936391e-19,4.0162191e-05,3.739954,-2.0000014,0.050000001,1.085073,0.1934641,4.7785032e-23,3.7399549,-2,0
172,-0.048460823,1.2367724e-21,-7.6840909e-22,7.2712333e-05,3.8113821,-1.9473917,0.050000001,1.0748178,0.2027496,-3.2300627e-25,3.8113799,-1.94739,0
172,-0.046272106,2.0328729e-21,7.4185176e-22,3.0288254e-05,3.8112803,-1.9999992,0.050000001,1.0742016,0.19464169,-7.385569e-24,3.8112812,-2,0
172,-0.043868322,6.7127171e-22,-4.0041435e-21,7.644236e-05,3.8827078,-1.9472817,0.050000001,1.0634326,0.20329787,-9.8335077e-24,3.88271,-1.94728,0
172,-0.041859515,6.114406e-20,-3.290762e-19,2.9593624e-05,3.8826106,-1.9999998,0.050000001,1.0632989,0.19516423,-1.2484236e-22,3.882611,-2,0
172,-0.039308161,-1.7428002e-20,9.7832958e-20,8.5683212e-05,3.9540336,-1.9471785,0.050000001,1.0520604,0.20317312,2.8848542e-23,3.95403,-1.94718,0
172,-0.037473392,1.7662639e-20,-9.7919153e-20,4.5152643e-05,3.9539387,-1.9999995,0.050000001,1.0524026,0.19504446,-3.1457646e-23,3.9539375,-2,0
172,-0.034798864,1.3130827e-22,-3.5864431e-21,0.00010307543,4.0253654,-1.9470695,0.050000001,1.0407425,0.2023931,-1.1977257e-23,4.0253701,-1.94707,0
172,-0.033130784,-1.201603e-20,6.3846556e-20,4.9450104e-05,4.025269,-1.9999985,0.050000001,1.0415514,0.19429591,1.7282724e-23,4.0252705,-2,0
172,-0.030357085,-2.9114655e-22,-1.5966296e-21,9.7006741e-05,4.0966978,-1.9469672,0.050000001,1.0295175,0.20097481,-5.44273e-24,4.0967002,-1.94697,0
172,-0.028847452,9.3898732e-22,-9.4607165e-24,4.02687e-05,4.0966005,-1.9999975,0.050000001,1.0307795,0.19293445,-4.1083446e-24,4.0966005,-2,0
172,-0.025996778,5.8524133e-20,-2.8584061e-19,8.9936737e-05,4.1680322,-1.9468672,0.050000001,1.0184077,0.19893858,-7.8189337e-23,4.1680298,-1.94687,0
172,-0.024636518,3.2928519e-20,-1.5799239e-19,4.937057e-05,4.1679373,-1.9999974,0.050000001,1.0201144,0.19097655,-4.1718382e-23,4.1679368,-2,0
172,-0.021729387,2.070804e-20,-9.7517466e-20,0.00010601916,4.2393675,-1.9467673,0.050000001,1.0074476,0.19630282,-3.2446035e-23,4.2393699,-1.94677,0
172,-0.020509213,1.9095254e-20,-9.531241e-20,5.634566e-05,4.2392755,-1.9999988,0.050000001,1.0095875,0.188439,-2.4107353e-23,4.2392769,-2,0
172,-0.017564559,2.6479669e-21,-1.4687521e-22,0.00011278221,4.310708,-1.9466742,0.050000001,0.99666226,0.19308615,-6.3026034e-24,4.31071,-1.9466701,0
172,-0.016475068,2.3320016e-20,-1.2362919e-19,5.9413687e-05,4.3106155,-2.0000014,0.050000001,0.99922287,0.18533933,-1.7802653e-23,4.3106165,-2,0
172,-0.01350996,3.644709e-20,-1.840284e-19,0.00012831351,4.3820477,-1.9465821,0.050000001,0.9860698,0.18930711,-2.7636801e-23,4.38205,-1.9465801,0
