Time,"p","vorticity:0","vorticity:1","vorticity:2","C:0","C:1","C:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
21,-0.1301489,-1.5094854e-20,-2.318398e-19,-5.9501763e-05,1.0312799,-1.953396,0.050000001,1.2130426,-0.050455876,-2.1776661e-22,1.03128,-1.95339,0
21,-0.12694384,-4.0894372e-21,3.4471266e-20,-0.00010448436,1.0310751,-2.0000012,0.050000001,1.2099329,-0.049181633,3.9417205e-23,1.0310751,-2,0
21,-0.1267146,-7.0266595e-22,3.6504476e-20,-0.00010948737,0.99999911,-1.9999996,0.050000001,1.2090787,-0.05122938,3.3220624e-23,1,-2,0
21,-0.12993655,-1.1360513e-20,-2.2724153e-19,-7.4816999e-05,0.99999887,-1.9534671,0.050000001,1.2121626,-0.052514963,-2.1442964e-22,1,-1.9534646,0
21,-0.13063303,1.8037468e-20,6.7553731e-19,-5.9727001e-05,1.1025574,-1.9532275,0.050000001,1.2150699,-0.045698892,6.4419098e-22,1.10256,-1.95323,0
21,-0.12745684,2.9260558e-20,8.1311249e-19,-0.00011672575,1.102358,-1.9999987,0.050000001,1.2118939,-0.04441658,7.6820542e-22,1.1023604,-2,0
21,-0.13113301,7.8957588e-21,3.6247761e-21,-3.3555036e-05,1.1738293,-1.9530575,0.050000001,1.2171199,-0.040845033,6.6276086e-24,1.17383,-1.95306,0
21,-0.12797061,-7.302756e-21,-3.9219151e-19,-0.00010550105,1.1736337,-1.9999986,0.050000001,1.2138591,-0.039554931,-3.6745575e-22,1.1736355,-2,0
21,-0.13165975,-9.6428822e-22,5.4430791e-21,1.7835355e-05,1.2450994,-1.9528875,0.050000001,1.2191899,-0.035860088,5.806109e-24,1.2451,-1.95289,0
21,-0.12849486,-6.1748035e-21,-1.3418872e-19,-6.5529908e-05,1.2449079,-1.9999987,0.050000001,1.2158246,-0.03456625,-1.2656075e-22,1.2449107,-2,0
21,-0.13222095,-4.4274875e-21,-2.2389029e-19,5.1896426e-05,1.3163654,-1.9527155,0.050000001,1.2212749,-0.030709561,-2.3183229e-22,1.31637,-1.95272,0
21,-0.12903643,-7.4908111e-21,-2.1986626e-19,-5.1261646e-05,1.3161781,-1.9999954,0.050000001,1.217782,-0.029419906,-2.145869e-22,1.3161801,-2,0
21,-0.13281952,-8.9979576e-21,-9.1618938e-19,0.00010293834,1.3876271,-1.9525417,0.050000001,1.2233599,-0.02535909,-8.9612297e-22,1.38763,-1.95254,0
21,-0.12959717,-2.1629049e-20,-1.1830266e-18,-2.747154e-05,1.3874437,-1.9999989,0.050000001,1.2197187,-0.024085145,-1.1248033e-21,1.3874453,-2,0
21,-0.13345362,2.2459432e-21,2.2048458e-19,0.00013293716,1.4588956,-1.9523662,0.050000001,1.2254198,-0.019774847,2.2657923e-22,1.4589,-1.95237,0
21,-0.13017587,-4.1227279e-22,8.2976885e-20,4.6575869e-06,1.4587139,-1.9999983,0.050000001,1.2216101,-0.018532826,9.216556e-23,1.4587147,-2,0
21,-0.13411741,-3.3903682e-21,4.6269459e-19,0.00016626743,1.5301577,-1.9521855,0.050000001,1.2274299,-0.013926416,4.4218489e-22,1.53016,-1.95219,0
21,-0.13076617,4.2796382e-21,3.2334296e-19,3.3951859e-05,1.5299799,-1.9999979,0.050000001,1.2234337,-0.012736088,3.1426537e-22,1.5299799,-2,0
21,-0.13479866,-4.3367125e-21,-4.4937626e-19,0.00022300809,1.6014173,-1.9520078,0.050000001,1.2293574,-0.00778588,-4.596306e-22,1.60142,-1.95201,0
21,-0.13135724,-3.2206376e-21,-4.4745813e-19,5.6966692e-05,1.601244,-1.9999987,0.050000001,1.2251585,-0.0066710836,-4.4091589e-22,1.6012454,-2,0
21,-0.13548119,4.0800017e-21,-1.1522915e-18,0.00028198402,1.6726795,-1.9518298,0.050000001,1.2311598,-0.0013299531,-1.1238788e-21,1.67268,-1.95183,0
21,-0.13193418,1.8315701e-21,-8.7761981e-19,8.4976265e-05,1.672509,-1.9999996,0.050000001,1.2267448,-0.0003182643,-8.5741996e-22,1.6725107,-2,0
21,-0.13614449,-1.0438608e-20,4.460085e-19,0.00035168399,1.7439417,-1.9516516,0.050000001,1.2327899,0.005459317,4.494316e-22,1.74394,-1.95165,0
21,-0.13247864,-5.9588823e-21,5.8298609e-19,0.00013362853,1.7437754,-2.0000005,0.050000001,1.2281512,0.006337055,5.730635e-22,1.7437762,-2,0
21,-0.13676386,-1.5545133e-20,9.2320594e-19,0.00041736898,1.8152076,-1.9514782,0.050000001,1.2341998,0.012593426,8.9082889e-22,1.81521,-1.95148,0
21,-0.13296832,-1.2598124e-20,1.0636573e-18,0.00017556103,1.8150445,-1.9999992,0.050000001,1.2293317,0.013303374,1.0125563e-21,1.8150456,-2,0
21,-0.13731144,1.315554e-20,-6.8114617e-19,0.00043245524,1.8864694,-1.9512995,0.050000001,1.2353374,0.020075738,-6.8722391e-22,1.88647,-1.9513,0
21,-0.13337719,9.4122135e-21,-8.1611418e-19,0.00018526617,1.8863091,-1.9999994,0.050000001,1.2302365,0.020582225,-8.0771183e-22,1.8863112,-2,0
21,-0.13775584,1.1461178e-20,-4.694358e-19,0.00048009431,1.957733,-1.9511259,0.050000001,1.2361423,0.027902503,-4.4743852e-22,1.9577399,-1.95113,0
21,-0.13367815,1.5480125e-20,-7.4483049e-19,0.0002200218,1.9575763,-1.9999993,0.050000001,1.2308168,0.028168242,-7.0399638e-22,1.9575806,-2,0
21,-0.13806424,-2.5976479e-20,9.1767738e-19,0.00054835156,2.0289972,-1.9509518,0.050000001,1.23656,0.036060542,9.2257538e-22,2.029,-1.95095,0
21,-0.13384135,-1.4677496e-21,2.1320119e-19,0.0002593825,2.028846,-1.9999994,0.050000001,1.2310208,0.036047965,2.3301636e-22,2.0288463,-2,0
21,-0.13820146,8.6407949e-21,1.2040843e-20,0.00055705511,2.1002674,-1.9507796,0.050000001,1.2365324,0.044528827,8.8842422e-25,2.10027,-1.95078,0
21,-0.13383561,1.938064e-20,-4.1624189e-19,0.00026602551,2.1001194,-2.0000012,0.050000001,1.2307935,0.044200357,-3.9822582e-22,2.1001217,-2,0
21,-0.13813327,1.8753882e-20,-6.8808182e-19,0.00057135883,2.1715395,-1.9506115,0.050000001,1.2360051,0.053275913,-6.9341691e-22,2.17154,-1.95061,0
21,-0.13363084,1.577743e-20,-5.4649776e-19,0.00026726257,2.1713924,-2.0000005,0.050000001,1.2300891,0.052595317,-5.2862354e-22,2.1713912,-2,0
21,-0.13782588,2.1191939e-20,-4.590611e-19,0.00057992851,2.2428095,-1.9504455,0.050000001,1.2349224,0.062262256,-4.6113648e-22,2.24281,-1.9504499,0
21,-0.1331971,1.4401814e-20,-3.1368186e-19,0.00027480966,2.2426655,-1.999997,0.050000001,1.2288584,0.061195798,-3.0116286e-22,2.242667,-2,0
21,-0.13724828,4.9764976e-20,-9.2226999e-19,0.00056442444,2.3140814,-1.9502792,0.050000001,1.2332376,0.071440071,-9.3157157e-22,2.31408,-1.95028,0
21,-0.13250607,2.9243271e-20,-6.3407204e-19,0.00027394906,2.3139405,-1.9999985,0.050000001,1.2270567,0.069956839,-6.2245715e-22,2.3139429,-2,0
